symbol,close,change%,volume,volume_M,rvol,atr%,resistance,support,dist_to_R%,dist_to_S%,breakout_reason,target1,target2,target3,downside1,downside2,potential_gain%,risk%,risk_reward,sma10,sma20,score,setup
LI,25.18,2.86,6864579,6.9,1.54,4.19,26.46,24.31,5.08,3.46,Tested 5x | 5-day closing high,27.53,28.61,29.94,23.24,22.16,13.62,3.46,3.94,25.65,24.97,80,Moderate move +2.9% | Elevated volume 1.5x | High volatility 4.2% | Excellent R/R 3.9:1
BB,4.96,-0.2,20089849,20.1,1.9,4.82,4.97,3.94,0.2,20.6,Consolidation zone (spike to $5.08) | 20-day high,5.49,6.0,6.64,3.42,2.91,21.01,20.6,1.02,4.41,4.13,75,Elevated volume 1.9x | High volatility 4.8% | Near breakout (0.2%) | Uptrend
GME,27.14,2.07,6135086,6.1,0.76,4.1,27.28,26.33,0.52,2.97,Tested 4x | 20-day high,27.75,28.23,28.81,25.86,25.39,4.01,2.97,1.35,26.33,25.14,75,Moderate move +2.1% | High volatility 4.1% | Near breakout (0.5%) | Uptrend
BA,216.5,-2.35,7922813,7.9,1.44,2.66,221.7,216.05,2.4,0.21,Tested 5x | 5-day closing high,224.52,227.35,230.84,213.23,210.4,5.01,0.21,24.11,216.05,221.53,75,Moderate move -2.3% | Approaching breakout | Excellent R/R 24.1:1
LRCX,131.25,2.45,8034411,8.0,0.98,3.62,132.2,127.66,0.72,2.74,Tested 4x | 5-day closing high,134.47,136.74,139.55,125.38,123.11,4.19,2.74,1.53,127.66,117.17,70,Moderate move +2.5% | Good volatility 3.6% | Near breakout (0.7%) | Uptrend
ROKU,100.05,0.3,2567622,2.6,1.14,3.44,101.12,99.13,1.07,0.92,Tested 11x,102.12,103.11,104.34,98.14,97.14,3.06,0.92,3.33,99.13,97.66,70,Good volatility 3.4% | Near breakout (1.1%) | Excellent R/R 3.3:1 | Uptrend
RIVN,15.26,-2.3,43041818,43.0,0.86,5.77,15.79,15.1,3.47,1.06,Consolidation zone (spike to $16.17) | Tested 3x | 20-day high,16.14,16.48,16.91,14.75,14.41,8.0,1.06,7.58,15.1,14.51,70,Moderate move -2.3% | High volatility 5.8% | Excellent R/R 7.6:1 | Uptrend
AMD,161.2,1.38,30020922,30.0,0.85,3.74,161.3,159.74,0.06,0.9,Tested 15x | 5-day closing high,162.08,162.86,163.82,158.96,158.18,1.03,0.9,1.14,159.74,158.85,60,Good volatility 3.7% | Near breakout (0.1%) | Uptrend
NVDA,181.11,1.95,149192152,149.2,1.03,3.14,181.93,177.17,0.45,2.17,Tested 8x | 5-day closing high,184.31,186.69,189.63,174.79,172.42,3.08,2.17,1.42,177.17,175.04,60,Good volatility 3.1% | Near breakout (0.5%) | Uptrend
UBER,99.58,1.19,11606550,11.6,0.81,3.04,100.45,97.53,0.87,2.06,Tested 5x | 5-day high,101.91,103.37,105.18,96.07,94.61,3.81,2.06,1.85,97.53,95.86,60,Good volatility 3.0% | Near breakout (0.9%) | Uptrend
PLTR,178.3,0.49,30362038,30.4,0.65,3.85,182.24,177.29,2.21,0.57,Tested 6x | 5-day closing high,184.71,187.18,190.24,174.82,172.34,4.98,0.57,8.79,177.29,169.34,60,Good volatility 3.9% | Approaching breakout | Excellent R/R 8.8:1 | Uptrend
INTC,34.08,-3.76,133832700,133.8,1.19,6.37,35.41,24.67,3.9,27.62,5-day closing high,40.78,46.15,52.79,19.29,13.92,35.43,27.62,1.28,30.42,27.41,60,Strong down -3.8% | High volatility 6.4% | Uptrend
JD,35.79,3.44,14023006,14.0,0.77,4.05,35.79,34.88,0.0,2.55,Consolidation zone (spike to $36.58) | Tested 5x | 20-day high,36.25,36.7,37.27,34.42,33.96,2.55,2.55,1.0,34.88,33.81,60,Strong up +3.4% | High volatility 4.0% | Uptrend
SPY,663.34,0.19,52855207,52.9,0.99,0.78,667.34,662.39,0.6,0.14,Tested 13x | 20-day high,669.81,672.29,675.35,659.92,657.44,1.35,0.14,9.44,662.39,656.63,55,Near breakout (0.6%) | Excellent R/R 9.4:1 | Uptrend
TSLA,441.7,0.39,58631237,58.6,0.83,4.58,444.77,430.71,0.7,2.49,Tested 6x | 5-day closing high,451.8,458.83,467.52,423.68,416.65,3.88,2.49,1.56,430.71,394.03,55,High volatility 4.6% | Near breakout (0.7%) | Uptrend
QQQ,598.39,0.38,34995381,35.0,0.89,1.01,602.98,596.5,0.77,0.32,Tested 9x | 20-day high,606.22,609.46,613.46,593.27,590.03,1.85,0.32,5.87,596.5,587.82,55,Near breakout (0.8%) | Excellent R/R 5.9:1 | Uptrend
JPM,315.51,-0.38,4172206,4.2,0.76,1.51,318.01,313.16,0.79,0.75,Tested 8x | 20-day high,320.44,322.86,325.86,310.73,308.3,2.33,0.75,3.12,313.16,307.03,55,Near breakout (0.8%) | Excellent R/R 3.1:1 | Uptrend
DIA,462.75,0.12,2270665,2.3,0.73,0.86,467.0,462.04,0.92,0.15,Tested 13x | 20-day high,469.48,471.96,475.02,459.56,457.08,1.99,0.15,13.01,462.04,459.4,55,Near breakout (0.9%) | Excellent R/R 13.0:1 | Uptrend
AAPL,254.0,-0.58,29819062,29.8,0.66,2.2,257.6,248.98,1.42,1.98,Tested 6x | 20-day high,261.91,266.22,271.54,244.67,240.37,4.81,1.98,2.44,248.98,242.06,55,Near breakout (1.4%) | Good R/R 2.4:1 | Uptrend
AVGO,328.0,-2.03,13810853,13.8,0.7,3.91,356.26,327.3,8.61,0.21,Tested 5x,370.73,385.21,403.1,312.82,298.35,17.44,0.21,81.73,341.71,340.48,55,Moderate move -2.0% | Good volatility 3.9% | Excellent R/R 81.7:1
CLOV,3.14,-0.64,2885110,2.9,0.58,5.36,3.25,3.11,3.5,0.83,Consolidation zone (spike to $3.35) | Tested 5x | 20-day high,3.32,3.39,3.47,3.05,2.98,7.83,0.83,9.49,3.11,3.0,50,High volatility 5.4% | Excellent R/R 9.5:1 | Uptrend
QCOM,165.21,-2.51,4721825,4.7,0.93,2.34,171.5,164.76,3.81,0.27,Tested 6x | 5-day closing high,174.87,178.24,182.41,161.39,158.02,7.89,0.27,28.96,168.02,163.75,50,Moderate move -2.5% | Excellent R/R 29.0:1
BBBY,9.23,-1.49,1214704,1.2,0.62,7.56,9.83,8.8,6.46,4.66,Consolidation zone (spike to $9.83) | Tested 3x | 10-day high,10.34,10.85,11.49,8.29,7.77,17.58,4.66,3.77,9.43,9.65,50,High volatility 7.6% | Excellent R/R 3.8:1
SOFI,27.45,-1.72,55754686,55.8,1.02,5.09,29.72,27.06,8.27,1.42,Consolidation zone (spike to $30.14) | Tested 3x | 5-day high,31.05,32.38,34.03,25.73,24.4,17.96,1.42,12.64,28.33,27.06,50,High volatility 5.1% | Excellent R/R 12.6:1
OXY,47.98,0.99,14465737,14.5,2.24,2.51,47.98,47.02,0.0,1.99,Consolidation zone (spike to $48.88) | Tested 8x | 20-day high,48.46,48.94,49.53,46.54,46.07,1.99,1.99,1.0,47.02,46.55,50,High volume 2.2x | Uptrend
C,103.15,-0.19,7637768,7.6,0.76,1.82,103.52,102.56,0.35,0.57,Tested 8x | 5-day closing high,103.99,104.47,105.06,102.08,101.6,1.28,0.57,2.24,102.56,99.79,45,Near breakout (0.4%) | Good R/R 2.2:1 | Uptrend
MSFT,514.58,0.82,11073377,11.1,0.89,1.7,516.85,511.43,0.44,0.61,Tested 14x | 5-day high,519.56,522.27,525.62,508.72,506.01,1.49,0.61,2.44,511.43,507.88,45,Near breakout (0.4%) | Good R/R 2.4:1 | Uptrend
WFC,84.6,-0.55,7192353,7.2,0.66,1.85,85.09,83.99,0.58,0.72,Tested 6x | 5-day closing high,85.63,86.18,86.85,83.45,82.9,1.87,0.72,2.61,83.99,82.39,45,Near breakout (0.6%) | Good R/R 2.6:1 | Uptrend
BAC,52.39,0.36,19907148,19.9,0.66,1.8,52.88,51.84,0.94,1.04,Tested 9x | 20-day high,53.4,53.92,54.56,51.32,50.81,2.91,1.04,2.79,51.84,51.05,45,Near breakout (0.9%) | Good R/R 2.8:1 | Uptrend
NFLX,1203.13,-0.53,1539648,1.5,1.09,2.26,1227.79,1184.87,2.05,1.52,Tested 12x | 5-day high,1249.25,1270.71,1297.23,1163.41,1141.95,5.62,1.52,3.7,1212.59,1220.1,45,Approaching breakout | Excellent R/R 3.7:1
CVX,156.25,-2.47,5626597,5.6,1.15,1.81,161.3,155.56,3.23,0.44,Tested 14x | 20-day high,164.17,167.04,170.59,152.69,149.82,6.91,0.44,15.64,158.58,157.83,40,Moderate move -2.5% | Excellent R/R 15.6:1
XOM,114.1,-2.73,12602414,12.6,1.1,1.88,118.36,111.85,3.73,1.97,Double-tested | 20-day high,121.62,124.87,128.89,108.6,105.34,9.44,1.97,4.79,114.48,113.14,40,Moderate move -2.7% | Excellent R/R 4.8:1
GOOGL,243.7,-1.23,21223596,21.2,0.8,2.48,254.36,240.74,4.37,1.21,Tested 9x | 5-day high,261.17,267.98,276.4,233.93,227.12,9.96,1.21,8.2,250.22,243.69,40,Excellent R/R 8.2:1
NIO,7.16,1.42,62563827,62.6,0.69,7.29,7.51,6.74,4.89,5.87,Consolidation zone (spike to $7.68) | Tested 4x | 20-day high,7.9,8.28,8.76,6.36,5.97,15.64,5.87,2.67,7.2,6.69,40,High volatility 7.3% | Good R/R 2.7:1
ARM,140.01,0.28,2072453,2.1,0.63,4.56,154.15,137.62,10.1,1.71,Tested 6x,162.41,170.67,180.89,129.36,121.09,21.9,1.71,12.83,144.78,143.94,40,High volatility 4.6% | Excellent R/R 12.8:1
MS,160.51,0.32,2679613,2.7,0.74,1.88,160.77,159.02,0.16,0.93,Tested 8x | 5-day closing high,161.64,162.52,163.6,158.15,157.27,1.25,0.93,1.35,159.02,155.57,35,Near breakout (0.2%) | Uptrend
DIS,114.76,1.5,5264927,5.3,0.87,1.84,115.01,113.88,0.22,0.77,Tested 10x | 5-day high,115.57,116.14,116.84,113.32,112.75,1.2,0.77,1.57,113.88,115.56,35,Near breakout (0.2%)
GS,798.61,-0.66,575986,0.6,0.64,1.89,808.4,782.01,1.23,2.08,Tested 8x | 5-day closing high,821.6,834.79,851.1,768.82,755.62,4.53,2.08,2.18,799.65,778.56,35,Near breakout (1.2%) | Good R/R 2.2:1
IWM,241.39,0.01,19875059,19.9,0.68,1.56,245.07,237.55,1.53,1.59,Tested 9x,248.83,252.59,257.24,233.79,230.03,4.64,1.59,2.92,241.98,239.46,35,Near breakout (1.5%) | Good R/R 2.9:1
PINS,33.49,-0.45,7149653,7.1,0.92,3.76,36.56,32.3,9.15,3.55,Consolidation zone (spike to $35.72) | Tested 8x | 10-day high,38.68,40.81,43.44,30.17,28.04,21.86,3.55,6.15,34.89,35.67,35,Good volatility 3.8% | Excellent R/R 6.2:1
XPEV,23.2,1.84,5519573,5.5,0.88,3.57,23.2,21.84,0.0,5.84,Consolidation zone (spike to $23.80) | Double-tested | 20-day high,23.88,24.56,25.39,21.17,20.49,5.84,5.84,1.0,21.84,21.2,35,Good volatility 3.6% | Uptrend
META,743.9,0.06,5476396,5.5,0.89,2.22,780.78,737.35,4.96,0.88,Tested 7x,802.49,824.21,851.05,715.64,693.92,10.8,0.88,12.26,763.56,757.65,30,Excellent R/R 12.3:1
AMZN,221.98,0.79,29755134,29.8,0.91,2.41,233.18,216.47,5.04,2.48,Tested 11x,241.53,249.88,260.2,208.12,199.76,12.57,2.48,5.06,226.05,228.75,30,Excellent R/R 5.1:1
F,12.09,0.83,77139028,77.1,1.46,2.35,12.09,11.74,0.0,2.89,Consolidation zone (spike to $12.32) | Tested 3x | 20-day high,12.26,12.44,12.65,11.57,11.39,2.89,2.89,1.0,11.74,11.69,30,Uptrend
LCID,24.11,0.75,8029730,8.0,0.71,5.23,24.11,22.06,0.0,8.51,Consolidation zone (spike to $24.53) | 20-day high,25.14,26.16,27.43,21.03,20.01,8.51,8.51,1.0,22.06,20.29,30,High volatility 5.2% | Uptrend
AMAT,204.95,0.48,5063022,5.1,0.91,3.05,204.95,194.45,0.0,5.12,Tested 4x | 5-day closing high,210.2,215.45,221.94,189.2,183.95,5.12,5.12,1.0,194.45,178.71,25,Good volatility 3.0% | Uptrend
GM,61.1,0.0,5517895,5.5,1.06,2.16,61.1,59.57,0.0,2.5,Tested 3x | 5-day closing high,61.86,62.63,63.57,58.81,58.05,2.5,2.5,1.0,59.57,58.9,20,Uptrend
